,Company Name,Clients (Domestic PF/EPFO),Clients (Domestic Corporates),Clients (Domestic Non-Corporates),Clients (Foreign Non-Residents),Clients (Foreign FPI),Clients (Foreign Others),Clients (Total),AUM (Domestic PF/EPFO),AUM (Domestic Corporates),AUM (Domestic Non-Corporates),AUM (Foreign Non-Residents),AUM (Foreign FPI),AUM (Foreign Others),AUM (Total)
130,EMKAY INVESTMENT MANAGERS LIMITED,0.0,26.0,265.0,52.0,1.0,0.0,344.0,0.0,198.10506,462.05289,69.65363,22.85714,0.0,752.66872
131,ENAM ASSET MANAGEMENT CO.PVT.LTD,0.0,238.0,1233.0,256.0,2.0,0.0,1729.0,0.0,4303.82242,8338.46529,1748.9409,27673.16729,0.0,42064.39591
132,ENTRUST FAMILY OFFICE INVESTMENT ADVISORS PRIVATE LIMITED,0.0,5.0,26.0,4.0,0.0,0.0,35.0,0.0,53.96537,40.22345,733.85554,0.0,0.0,828.04436
133,ENVISION CAPITAL SERVICES PVT.LTD.,0.0,7.0,84.0,1.0,0.0,1.0,93.0,0.0,52.64,145.05,0.85,0.0,1420.38,1618.92
134,EPIQ CAPITAL INVESTMENT ADVISORY LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,EQUANIMITY MANAGEMENT SERVICES LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,EQUENTIS WEALTH ADVISORY SERVICES LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,EQUIPOISE CAPITAL MANAGEMENT PRIVATE LIMITED,0.0,2.0,25.0,0.0,1.0,0.0,28.0,0.0,4.1,64.24,0.0,213.11,0.0,281.45
138,EQUIRUS WEALTH PRIVATE LIMITED,0.0,27.0,384.0,69.0,0.0,0.0,480.0,0.0,73.03,500.35,60.93,0.0,0.0,634.31
139,EQUITREE CAPITAL ADVISORS PRIVATE LIMITED,0.0,25.0,168.0,14.0,1.0,0.0,208.0,0.0,167.66456,295.97295,62.17343,40.0,0.0,565.81094
140,EQUITY INTELLIGENCE INDIA PVT. LTD.,0.0,11.0,917.0,366.0,0.0,0.0,1294.0,0.0,39.6,1455.38,502.22,0.0,0.0,1997.2
141,ESCORP ASSET MANAGEMENT LIMITED,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.62602,0.87691,0.0,0.0,0.0,1.50293
142,ESTEE ADVISORS PRIVATE LIMITED,0.0,28.0,91.0,1.0,0.0,0.0,120.0,0.0,124.78,148.38,0.58,0.0,0.0,273.74
143,EUREKA PORTFOLIO MANAGEMENT SERVICES PVT LTD,0.0,6.0,47.0,0.0,0.0,0.0,53.0,0.0,5.76,46.14,0.0,0.0,0.0,51.9
144,FIDENT ASSET MANAGEMENT PRIVATE LIMITED,0.0,2.0,7.0,0.0,0.0,0.0,9.0,0.0,1.03,5.24,0.0,0.0,0.0,6.27
145,FINCOS TECHNOLOGY SOLUTIONS PRIVATE LIMITED,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.00201,0.46585,0.0,0.0,0.0,2.46786
146,FINDOC INVESTMART PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,FINWIZARD TECHNOLOGY PRIVATE LIMITED,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.50128,0.0,0.0,0.0,0.50128
148,FIRESIDE INVESTMENT ADVISORY LLP ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,FIRESIDE VENTURES ADVISORY LLP ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
