,Company Name,Clients (Domestic PF/EPFO),Clients (Domestic Corporates),Clients (Domestic Non-Corporates),Clients (Foreign Non-Residents),Clients (Foreign FPI),Clients (Foreign Others),Clients (Total),AUM (Domestic PF/EPFO),AUM (Domestic Corporates),AUM (Domestic Non-Corporates),AUM (Foreign Non-Residents),AUM (Foreign FPI),AUM (Foreign Others),AUM (Total)
383,SYKES  AND  RAY EQUITIES INDIA LIMITED,0.0,2.0,81.0,7.0,0.0,0.0,90.0,0.0,3.58,113.97,4.6,0.0,0.0,122.15
384,SYSTEMATIX SHARES AND STOCKS (INDIA) LIMITED,0.0,10.0,46.0,3.0,0.0,0.0,59.0,0.0,90.38,69.76,2.26,0.0,0.0,162.4
385,T.RAM FINANCIAL SERVICES PRIVATE LIMITED,0.0,2.0,107.0,20.0,0.0,0.0,129.0,0.0,13.767,190.116,22.477,0.0,0.0,226.36
386,TAILWIND FINANCIAL SERVICES PRIVATE LIMITED,0.0,5.0,15.0,1.0,0.0,0.0,21.0,0.0,20.35,12.65,3.83,0.0,0.0,36.83
387,TAMOHARA INVESTMENT MANAGERS PRIVATE LIMITED,0.0,18.0,260.0,29.0,0.0,0.0,307.0,0.0,51.11,243.14,84.71,0.0,0.0,378.96
388,TATA ASSET MANAGEMENT PRIVATE LIMITED,10.0,1.0,199.0,8.0,0.0,0.0,218.0,1410.0789,0.55651,175.80933,8.51858,0.0,0.0,1594.96332
389,TAURUS TREASURY MANAGEMENT SERVICES PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,TCG ADVISORY SERVICES PRIVATE LIMITED,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,13.67,0.0,0.0,0.0,13.67
391,THE HONGKONG AND SHANGHAI BANKING CORPOR,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,258.44,0.0,0.0,0.0,258.44
392,THINQWISE WEALTH MANAGERS LLP,0.0,2.0,9.0,0.0,0.0,0.0,11.0,0.0,14.66,19.21,0.0,0.0,0.0,33.88
393,TORUS ORO PORTFOLIO MANAGEMENT PRIVATE LIMITED,0.0,4.0,78.0,6.0,0.0,0.0,88.0,0.0,11.58,150.35,6.0,0.0,0.0,167.93
394,TRADESWIFT BROKING PRIVATE LIMITED,0.0,2.0,31.0,2.0,0.0,0.0,35.0,0.0,1.7,32.53,1.55,0.0,0.0,35.78
395,TRIVANTAGE CAPITAL MANAGMENT INDIA PRIVATE LIMITED,0.0,11.0,53.0,7.0,0.0,0.0,71.0,0.0,297.12,202.63,12.71,0.0,0.0,512.46
396,TRUE BEACON INVESTMENT ADVISORS LLP,0.0,45.0,272.0,5.0,0.0,0.0,322.0,0.0,274.81,410.6,3.37,0.0,0.0,688.78
397,TRUE NORTH CREDIT FUND MANAGERS LLP,0.0,1.0,5.0,0.0,0.0,0.0,6.0,0.0,10.0,85.0,0.0,0.0,0.0,95.0
398,TRUE NORTH MANAGERS LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,TRUST INVESTMENT ADVISORS PVT. LTD.,13.0,34.0,219.0,23.0,0.0,0.0,289.0,10805.24,843.78,1648.95,878.73,0.0,0.0,14176.7
400,TRUSTLINE HOLDING PVT. LTD.,0.0,8.0,551.0,53.0,0.0,0.0,612.0,0.0,17.18047,793.08064,83.88601,0.0,0.0,894.14712
401,TRUSTLINE SECURITIES LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,TULSIAN PMS LIMITED,0.0,12.0,314.0,0.0,0.0,0.0,326.0,0.0,58.62648,371.84144,0.0,0.0,0.0,430.46792
403,TURTLE WEALTH MANAGEMENT PVT. LTD.,0.0,22.0,205.0,12.0,0.0,0.0,239.0,0.0,220.02,378.22,17.21,0.0,0.0,615.45
404,TVS CAPITAL FUNDS PRIVATE LIMITED,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,6.49,0.0,0.0,0.0,6.49
405,UNICORN INVESTMENT MANAGERS LLP,0.0,2.0,27.0,0.0,0.0,0.0,29.0,0.0,12.71,50.77,0.0,0.0,0.0,63.49
406,UNIFI CAPITAL PRIVATE LIMITED,0.0,614.0,9014.0,670.0,0.0,0.0,10298.0,0.0,4134.24,17091.57,1127.78,0.0,0.0,22353.58
407,UNIQUE ASSET MANAGEMENT LLP,0.0,13.0,631.0,36.0,0.0,0.0,680.0,0.0,53.96934,2419.12582,171.53433,0.0,0.0,2644.62949
408,UTI ALTERNATIVES PRIVATE LIMITED,0.0,7.0,3.0,1.0,0.0,0.0,11.0,0.0,120.95,13.0,9.25,0.0,0.0,143.2
409,UTI ASSET MANAGEMENT COMPANY PVT LTD,2.0,4.0,0.0,0.0,0.0,0.0,6.0,1248656.92,100832.01,0.0,0.0,0.0,0.0,1349488.93
410,V.E.C ASSAGO CAPITAL MANAGEMENT LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,VAL-Q INVESTMENT ADVISORY PRIVATE LIMITED,0.0,0.0,32.0,3.0,0.0,0.0,35.0,0.0,0.0,96.9143,4.66075,0.0,0.0,101.57505
412,VALCREATE INVESTMENT MANAGERS LLP,0.0,6.0,44.0,12.0,0.0,0.0,62.0,0.0,43.66743,159.77601,12.44619,0.0,0.0,215.88963
413,VALENTIS ADVISORS PRIVATE LIMITED,0.0,94.0,525.0,52.0,0.0,0.0,671.0,0.0,402.345,1137.16145,91.02591,0.0,0.0,1630.53236
414,VALLUM CAPITAL ADVISORS PRIVATE LIMITED,0.0,67.0,399.0,17.0,0.0,0.0,483.0,0.0,460.53,1168.34,35.31,0.0,0.0,1664.18
415,VALTRUST PARTNERS LLP,0.0,17.0,94.0,4.0,0.0,0.0,115.0,0.0,19.19384,81.2069,3.27296,0.0,0.0,103.6737
416,VALUE PROLIFIC INVESTMENTS AND CONSULTING PRIVATE LIMITED,0.0,3.0,7.0,0.0,0.0,0.0,10.0,0.0,128.93,4.94,0.0,0.0,0.0,133.87
417,VALUEQUEST INVESTMENT ADVISORS PVT. LTD.,0.0,152.0,1728.0,141.0,1.0,0.0,2022.0,0.0,1578.57,5750.39,365.17,11387.44,0.0,19081.57
418,VARANIUM CAPITAL ADVISORS PRIVATE LIMITED,0.0,4.0,42.0,5.0,0.0,0.0,51.0,0.0,8.69,42.53,45.11,0.0,0.0,96.33
419,VENTURA SECURITIES LIMITED,0.0,3.0,128.0,12.0,0.0,0.0,143.0,0.0,1.93,136.5,10.89,0.0,0.0,149.32
420,VIVRITI ASSET MANAGEMENT PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,VSPARTANS CONSULTANTS PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,WALLFORT PMS  AND  ADVISORY SERVICES LLP ,0.0,17.0,170.0,11.0,1.0,0.0,199.0,0.0,34.71,321.38,58.23,1.89,0.0,416.21
423,WATERFIELD FINANCIAL AND INVESTMENT ADVISORS PRIVATE LIMITED,0.0,4.0,39.0,3.0,0.0,0.0,46.0,0.0,59.77,225.67,38.74,0.0,0.0,324.18
424,WATERFIELD FUND MANAGERS PRIVATE LIMITED,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0
425,WAVE ASSET PRIVATE LIMITED,0.0,1.0,8.0,1.0,0.0,0.0,10.0,0.0,0.84262,4.9124,0.4688,0.0,0.0,6.22383
426,WAY2WEALTH  BROKERS PRIVATE LTD.,0.0,1.0,43.0,6.0,0.0,0.0,50.0,0.0,0.6112,63.0567,7.7088,0.0,0.0,71.3767
427,WAYA FINANCIAL TECHNOLOGIES PRIVATE LIMITED,0.0,2.0,21.0,0.0,0.0,0.0,23.0,0.0,3.97,14.01,0.0,0.0,0.0,17.98
428,WEALTH FIRST PORTFOLIO MANAGERS LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,WEALTH MANAGERS INDIA PRIVATE LIMITED,0.0,13.0,275.0,22.0,0.0,0.0,310.0,0.0,48.01729,730.14719,42.69875,0.0,0.0,820.86323
430,WEALTHBRIDGE CAPITAL ADVISORS PRIVATE LIMITED,0.0,4.0,24.0,2.0,0.0,0.0,30.0,0.0,5.8,77.38,5.33,0.0,0.0,88.51
431,WELSPUN ONE LOGISTICS PARKS PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,WHITE OAK CAPITAL MANAGEMENT CONSULTANTS LLP,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,646.51,0.0,0.0,6426.99,0.0,7073.5
433,WHITE PINE INVESTMENT MANAGEMENT PRIVATE LIMITED,0.0,13.0,125.0,4.0,0.0,0.0,142.0,0.0,39.87312,276.47316,5.18975,0.0,0.0,321.53604
434,WHITE WHALE PARTNERS LLP,0.0,8.0,34.0,0.0,1.0,0.0,43.0,0.0,37.86279,56.3126,0.0,85.62,0.0,179.8054
435,WHITEOAK CAPITAL ASSET MANAGEMENT LIMITED,0.0,245.0,2905.0,302.0,0.0,0.0,3452.0,0.0,1646.91,3599.33,332.62,0.0,0.0,5578.86
436,WILLOW ADVISORS LLP,0.0,3.0,70.0,10.0,0.0,0.0,83.0,0.0,4.56327,301.75994,38.00843,0.0,0.0,344.33165
437,WRYGHT RESEARCH  AND  CAPITAL PRIVATE LIMITED,0.0,10.0,470.0,43.0,0.0,0.0,523.0,0.0,6.91729,357.65655,26.30653,0.0,0.0,390.88038
438,XPONENT TRIBE LLP,0.0,1.0,20.0,0.0,0.0,0.0,21.0,0.0,16.83721,56.17522,0.0,0.0,0.0,73.01243
439,XPONENTIA CAPITAL PARTNERS LLP,0.0,8.0,9.0,1.0,0.0,0.0,19.0,0.0,94.46,32.42,1.95,0.0,0.0,208.77
440,ZEN WEALTH MANAGEMENT SERVICES LIMITED,0.0,4.0,46.0,16.0,0.0,0.0,66.0,0.0,58.8495,291.00736,115.87035,0.0,0.0,465.72721
441,ZEVA CAPSOL PRIVATE LIMITED ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
